location,district,address,longitude,latitude,link
榮富公園,北投區,臺北市北投區榮華三路與磺溪旁,121.5247,25.11433,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=E9C4254FCD906D5B"">連結</a>"
和平青草園公園,萬華區,臺北市萬華區艋舺大道與西園路2段交叉口,121.49722,25.03267,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=3AA293074F5855AD"">連結</a>"
道南河濱公園,文山區,臺北市文山區景美恆光橋下游右側,121.56869,24.98167,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=65FD5E845AA9F851"">連結</a>"
山水綠生態公園,南港區,臺北市南港區南深路37號,121.62499,25.0293,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=0155336C3506EE72"">連結</a>"
建成公園,大同區,臺北市大同區承德路2段35號旁,121.51858,25.05417,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=8F88D647FB637BD2"">連結</a>"
潭美國小,內湖區,臺北市內湖區行善路179號,121.58107,25.05921,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=0439AECF2E9C6F91"">連結</a>"
古亭國小,大安區,臺北市大安區羅斯福路3段201號,121.52848,25.02067,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=06703E1ECDFE5DBC"">連結</a>"
文林國小,北投區,臺北市北投區文林北路155號,121.51475,25.10593,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=0586ED4AC41C7965"">連結</a>"
榮華公園,北投區,臺北市北投區明德路150巷,121.52212,25.11081,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=C80DB97C32E565ED"">連結</a>"
石潭公園,內湖區,臺北市內湖區成功路2段東側,121.59173,25.06351,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=4AB1113FB31B7B4B"">連結</a>"
萬芳4號公園,文山區,臺北市文山區萬和街1號對面,121.56839,25.00121,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=26F469620122A80B"">連結</a>"
樂活公園,內湖區,臺北市內湖區康樂街61巷15號旁,121.6186,25.06819,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=C12602D96E42F3A7"">連結</a>"
興隆公園,文山區,臺北市文山區興隆路2段154巷與仙岩路交口,121.55175,24.99998,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=C7AFAD15F98A0885"">連結</a>"
大港墘公園,內湖區,臺北市內湖區瑞光路393巷旁,121.57374,25.07799,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=9B9B9AD2D0F5A685"">連結</a>"
眷村文化公園,信義區,臺北市信義區松勤路與莊敬路交口(信義國小西側),121.56262,25.03013,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=BBDB7FF60AD80796"">連結</a>"
景華公園,文山區,臺北市文山區景興路與景華街交口,121.54318,24.99574,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=C3AA1725AEB87A9E"">連結</a>"
明水公園,中山區,臺北市中山區北安路538巷1弄,121.54869,25.07912,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=A355D48987C10160"">連結</a>"
三民公園,松山區,臺北市松山區三民路、撫遠街298號,121.56744,25.06185,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=E478DAADE7C6A69D"">連結</a>"
聯成公園,南港區,臺北市南港區忠孝東路6段250巷1弄,121.58887,25.04829,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=9D4297813AC67968"">連結</a>"
福中公園,士林區,臺北市士林區福港街129巷及107巷交會處,121.51895,25.08827,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=D704D250E15EE061"">連結</a>"
玉成公園,南港區,臺北市南港區中坡南路55號,121.5857,25.04276,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=08189D7578835058"">連結</a>"
石牌公園,北投區,臺北市北投區石牌路1段39巷內,121.50957,25.11741,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=1111974B0799B242"">連結</a>"
立農公園,北投區,臺北市北投區承德路7段與吉利街口,121.50356,25.11907,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=9F81C7C66021864D"">連結</a>"
四分綠地,南港區,臺北市南港區研究院路2段182巷58弄旁,121.61463,25.03628,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=7D3C780071537B7B"">連結</a>"
磺港公園,北投區,臺北市北投區磺港路與大興街交叉口,121.50429,25.13086,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=BEEB85A8A89621AE"">連結</a>"
永盛公園,中山區,臺北市中山區中山北路2段93巷26、40號間,121.52484,25.05909,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=B43F343E4D8BE8BB"">連結</a>"
大佳河濱公園,中山區,臺北市中山區濱江街,121.52962,25.07518,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=B496F4561F06B716"">連結</a>"
中安公園,中山區,臺北市中山區中山北路2段65巷2弄內,121.52404,25.05655,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=5DEDDC50F55CE2D5"">連結</a>"
樹德公園,大同區,臺北市大同區大龍街129號,121.51629,25.06693,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=B0B6AE382B64FDD4"">連結</a>"
景化公園,大同區,臺北市大同區伊寧街9巷(景化街巷弄中),121.51276,25.06541,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=CC953699A52434B0"">連結</a>"
朝陽公園,大同區,臺北市大同區重慶北路2段64巷口,121.51315,25.05599,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=68557202F5C8DA72"">連結</a>"
大安國小,大安區,臺北市大安區臥龍街129號,121.54966,25.01955,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=CE6A193EEB59C3F8"">連結</a>"
和平實驗小學,大安區,臺北市大安區敦南街76巷28號,121.54671,25.02077,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=832F55F5F0D4785D"">連結</a>"
建安國小,大安區,臺北市大安區大安路2段99號,121.54615,25.02941,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=744378149154FBCA"">連結</a>"
花博公園美術園區,中山區,臺北市中山區中山北路以東民族東路以北(原民族公園),121.52375,25.06884,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=D8DDB67A9F2724C3"">連結</a>"
象山公園,信義區,臺北市信義區信義路5段150巷旁,121.57002,25.03017,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=0150CC245600BC72"">連結</a>"
士林4號廣場,士林區,臺北市士林區福林路與雨農路交叉口,121.53221,25.09612,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=B461E93E6EF34B85"">連結</a>"
榮星公園,中山區,臺北市中山區民權東路與建國北路交叉口,121.53847,25.06382,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=32ED2A1E79875866"">連結</a>"
碧湖公園,內湖區,臺北市內湖區內湖路2段175號(國立臺灣戲曲學院旁),121.58574,25.08221,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=57680BDD3733F4A4"">連結</a>"
中研公園,南港區,臺北市南港區研究路2段12巷58弄,121.61314,25.04676,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=5C910EE692CEADF9"">連結</a>"
兒童新樂園(機械式),士林區,臺北市士林區承德路5段55號 ,121.51473,25.09715,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=D4D92846026D0EDB"">連結</a>"
兒童新樂園(非機械式),士林區,臺北市士林區承德路5段55號 ,121.51473,25.09715,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=8D88B656BFDEF08A"">連結</a>"
瑠公圳公園,大安區,臺北市大安區安東街40巷,121.54047,25.04397,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=F3085C5DE6371195"">連結</a>"
松德公園,信義區,臺北市信義區松德路180巷8之1號對面,121.57319,25.03553,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=199C122D674C9C5D"">連結</a>"
東陽公園,南港區,臺北市南港區重陽路187巷,121.59844,25.05733,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=9BD85DD7C90D6C01"">連結</a>"
三重世貿公園,南港區,臺北市南港區經貿二路106巷,121.61523,25.05796,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=E79928B9C5D2427E"">連結</a>"
日新國小,大同區,臺北市大同區太原路151號,121.51667,25.0544,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=4372EA9F79EADEC0"">連結</a>"
天母夢想樂園,士林區,臺北市士林區忠誠路2段,121.53342,25.11387,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=CE9DDFC3318FCC70"">連結</a>"
大佳河濱公園(第3期),中山區,臺北市中山區濱江街,121.52962,25.07518,"<a target=""_blank"" href=""https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=C2D978FBEA86FA11"">連結</a>"
